发送时间：2018-06-29 16:27:50 	 服务器地址：http://101.254.242.12:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-06-29 16:36:46 	 服务器地址：http://101.254.242.12:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-06-29 16:38:02 	 服务器地址：http://101.254.242.12:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-06-29 16:38:12 	 服务器地址：http://101.254.242.12:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-06-29 16:38:14 	 服务器地址：http://101.254.242.12:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-06-29 16:38:28 	 服务器地址：http://101.254.242.12:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-06-29 16:38:57 	 服务器地址：http://101.254.242.12:8000/assets/report/ 	 返回结果：成功收到数据！ 
发送时间：2018-07-02 14:51:42 	 服务器地址：http://101.254.242.12:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-07-02 14:52:12 	 服务器地址：http://101.254.242.12:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-07-02 15:32:34 	 服务器地址：http://101.254.242.12:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-07-02 15:34:33 	 服务器地址：http://101.254.242.12:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-07-02 15:37:11 	 服务器地址：http://101.254.242.12:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2018-07-02 15:40:54 	 服务器地址：http://101.254.242.12:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2018-07-25 15:44:48 	 服务器地址：http://101.254.242.12:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-07-25 15:45:27 	 服务器地址：http://172.16.105.12:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2018-07-25 16:34:41 	 服务器地址：http://172.16.105.12:8000/assets/report/ 	 返回结果：资产数据已经更新！ 
发送时间：2018-07-26 14:42:33 	 服务器地址：http://172.16.105.12:8000/assets/report/ 	 返回结果：资产数据已经更新！ 
发送时间：2018-07-26 16:29:32 	 服务器地址：http://172.16.105.12:8000/assets/report/ 	 返回结果：资产数据已经更新！ 
发送时间：2018-07-26 17:36:30 	 服务器地址：http://172.16.105.12:8000/assets/report/ 	 返回结果：资产数据已经更新！ 
发送时间：2018-07-27 14:59:07 	 服务器地址：http://172.16.105.12:8000/assets/report/ 	 返回结果：资产数据已经更新！ 
发送时间：2018-07-27 15:08:05 	 服务器地址：http://172.16.105.12:8000/assets/report/ 	 返回结果：资产数据已经更新！ 
